step,reward_mean,reward_std,kl,loss,n_scored,eval_reward,elapsed_s
205,4.2657,6.4397,0.01896,-0.0331,64,,3609
206,5.2613,4.8899,0.02437,-0.0363,64,,3625
207,5.2517,4.0736,0.02876,-0.0612,64,,3642
208,6.9020,6.3040,0.02090,-0.0299,64,,3658
209,3.4654,4.8777,0.02527,-0.0358,64,,3674
210,5.9204,6.2064,0.03071,-0.0258,64,,3691
211,0.0327,7.3616,0.02059,0.0089,64,,3708
212,6.5350,6.2015,0.02496,-0.0429,64,,3724
213,3.6062,6.2026,0.03115,-0.0282,64,,3741
214,9.1193,5.5174,0.02172,-0.0408,64,,3757
215,2.4151,4.7843,0.02991,-0.0465,64,,3774
216,5.4049,7.1253,0.01952,-0.0407,64,,3790
217,7.2596,5.9226,0.02752,-0.0382,64,,3806
218,3.1997,7.4665,0.02410,-0.0330,64,,3822
219,1.7695,6.4032,0.02291,-0.0289,64,,3838
220,3.0244,4.4482,0.03494,-0.0272,63,,3854
221,11.5954,6.2463,0.01927,-0.0190,64,,3870
222,4.0466,5.8819,0.02742,-0.0485,64,,3885
223,3.6552,3.0578,0.02694,-0.0416,64,,3902
224,8.6801,6.5902,0.02633,-0.0449,64,,3918
225,1.2287,4.7311,0.03083,-0.0381,64,-1.6518,3947
226,4.3650,4.0434,0.03341,-0.0354,64,,3963
227,3.9097,4.7572,0.02851,-0.0749,64,,3978
228,9.8187,7.0241,0.03494,-0.0352,64,,3997
229,5.6358,4.9602,0.03340,-0.0424,64,,4017
230,2.8897,3.3368,0.03265,-0.0419,64,,4035
231,8.3935,7.3625,0.02510,-0.0537,63,,4052
232,3.3480,6.0320,0.01863,-0.0131,64,,4070
233,6.5344,6.1385,0.02944,-0.0198,64,,4087
234,7.3649,4.3789,0.02953,-0.0400,64,,4104
235,5.2519,9.0623,0.03273,0.0148,64,,4122
236,7.2876,4.2987,0.01986,-0.0487,64,,4140
237,3.4083,5.6556,0.02245,-0.0333,64,,4157
238,0.7139,6.7335,0.03147,-0.0265,64,,4173
239,6.1442,4.5450,0.03159,-0.0741,64,,4188
240,5.5233,5.4087,0.03159,0.0120,64,,4205
241,3.7852,6.5105,0.01823,-0.0424,64,,4221
242,5.8567,4.9624,0.03185,-0.0241,64,,4241
243,0.1300,6.6642,0.02561,0.0054,64,,4258
244,3.1555,4.7470,0.03298,-0.0445,64,,4275
245,6.5928,5.1605,0.03466,-0.0153,64,,4291
246,6.6944,4.4763,0.02734,-0.0275,64,,4308
247,5.8491,6.7855,0.01683,-0.0185,64,,4325
248,5.5955,4.3692,0.03338,0.0007,64,,4343
249,6.4782,5.2210,0.02270,-0.0335,64,,4360
250,7.2605,8.4595,0.01366,-0.0264,64,-1.2687,4391
251,5.3271,8.4777,0.02760,-0.0362,64,,4410
252,4.4726,8.1695,0.02585,-0.0353,64,,4427
253,2.9089,6.1279,0.03899,-0.0698,64,,4444
254,3.6504,4.5909,0.03104,-0.0217,64,,4462
255,3.1923,4.7270,0.02493,-0.0649,64,,4478
256,2.9400,4.2826,0.02557,-0.0354,64,,4495
257,5.7983,4.6870,0.01762,-0.0289,64,,4512
258,0.1063,6.8872,0.02561,-0.0476,63,,4529
259,5.3803,5.9496,0.01835,-0.0269,64,,4548
260,3.3812,8.5570,0.02587,-0.0197,64,,4569
261,5.3125,4.2711,0.03116,-0.0414,64,,4590
262,5.6988,6.3806,0.02605,-0.0118,64,,4608
263,3.7213,7.5684,0.02650,-0.0554,64,,4624
264,3.2403,5.6093,0.02287,-0.0645,64,,4645
265,1.7094,6.7505,0.02400,-0.0510,64,,4662
266,3.7112,7.0662,0.02982,-0.0341,64,,4679
267,8.2140,6.8848,0.02150,-0.0194,64,,4695
268,6.6476,7.6913,0.02243,-0.0346,64,,4713
269,3.2960,5.2414,0.03660,-0.0451,64,,4731
270,3.3664,4.9825,0.02300,-0.0114,64,,4747
271,5.4083,6.8147,0.02322,-0.0410,64,,4765
272,5.2716,9.4701,0.04135,-0.0308,64,,4782
273,7.5742,7.0856,0.02135,-0.0310,64,,4799
274,5.2708,6.4347,0.02950,0.0024,64,,4815
275,3.2940,6.1629,0.03496,-0.0245,64,-1.7403,4847
276,0.9912,8.5575,0.02115,-0.0450,64,,4864
277,4.0835,5.9075,0.03649,-0.0324,64,,4881
278,3.4905,5.0020,0.03254,-0.0312,64,,4900
279,2.7481,7.0018,0.03051,-0.0369,64,,4917
280,6.5744,7.1913,0.01943,-0.0339,64,,4934
281,6.4014,5.5331,0.02646,0.0129,64,,4952
282,5.0325,5.3427,0.03979,-0.0087,64,,4968
283,8.5476,9.2462,0.03022,-0.0304,64,,4985
284,3.2637,4.8281,0.03827,-0.0272,64,,5001
285,5.7184,5.7561,0.02010,0.0033,64,,5017
286,8.2249,5.6483,0.02517,-0.0650,64,,5034
287,4.6269,5.4048,0.02438,-0.0156,64,,5049
288,6.4734,5.0161,0.03446,-0.0289,64,,5066
289,5.4177,5.4458,0.02029,-0.0264,64,,5086
290,9.6034,6.9640,0.02831,-0.0144,64,,5103
291,6.8020,8.0203,0.03744,-0.0233,64,,5121
292,3.6043,7.8753,0.01769,-0.0104,64,,5138
293,5.1061,6.2405,0.03987,-0.0496,64,,5155
294,4.2219,6.7303,0.02822,-0.0290,64,,5174
295,4.7972,4.9655,0.03180,-0.0557,64,,5193
296,4.2132,7.7566,0.02605,-0.0211,64,,5212
297,5.9210,3.3614,0.02285,-0.0413,64,,5229
298,2.5859,8.1577,0.02478,-0.0230,64,,5247
299,4.5770,8.7865,0.03131,-0.0136,64,,5264
300,1.0738,4.8314,0.04093,-0.0504,64,-1.3622,5294
301,4.4855,4.6421,0.03901,-0.0806,64,,5312
302,5.6360,5.7584,0.03595,-0.0451,64,,5330
303,6.5002,5.7899,0.02795,-0.0310,64,,5347
304,1.5855,3.5092,0.01738,-0.0249,64,,5364
305,3.5073,6.7630,0.02464,-0.0428,64,,5380
306,3.7504,5.6055,0.02800,-0.0367,64,,5396
307,3.4656,5.5841,0.03298,-0.0933,64,,5413
308,2.8016,5.4078,0.03374,-0.0176,64,,5430
309,3.0388,6.0056,0.03294,-0.0030,64,,5446
310,8.5173,3.2450,0.02768,-0.0098,64,,5463
311,8.6057,4.8521,0.02548,-0.0512,64,,5479
312,9.2679,7.7019,0.02582,-0.0142,64,,5495
313,0.0809,3.3659,0.03021,-0.0388,64,,5512
314,4.5550,6.3358,0.02456,-0.0215,64,,5528
315,3.7704,7.9344,0.02126,-0.0094,64,,5545
316,4.0636,7.2671,0.02758,-0.0252,64,,5563
317,1.3780,2.3283,0.05033,-0.0372,64,,5582
318,2.7480,5.0643,0.03895,-0.0388,64,,5599
319,2.0277,6.9665,0.03965,-0.0328,64,,5617
320,3.3463,8.8175,0.02689,-0.0090,64,,5635
321,2.1604,7.6717,0.03621,-0.0562,64,,5652
322,6.1663,6.7793,0.02419,-0.0182,64,,5670
323,2.9215,6.4412,0.03619,-0.0381,64,,5686
324,5.6567,7.7359,0.02594,-0.0278,64,,5703
325,2.4460,6.7334,0.02674,-0.0389,64,-0.9007,5734
326,4.4083,7.6062,0.02488,-0.0208,64,,5752
327,5.1921,5.4470,0.01724,-0.0182,64,,5769
328,3.9389,6.4987,0.03738,-0.0444,64,,5787
329,4.8378,5.3388,0.03284,-0.0366,64,,5804
330,1.2885,4.7466,0.03558,-0.0326,64,,5821
331,-1.0519,6.4521,0.04068,-0.0770,64,,5840
332,6.5348,4.7341,0.03404,-0.0249,64,,5858
333,4.9839,7.1607,0.01847,-0.0277,64,,5875
334,3.9442,6.4660,0.04572,-0.0530,64,,5892
335,6.9930,7.0059,0.03511,-0.0219,64,,5908
336,6.2256,7.3345,0.03720,-0.0102,64,,5925
337,1.9545,6.3153,0.04409,0.0101,64,,5942
338,3.6747,6.2944,0.01952,-0.0029,64,,5960
339,3.6528,5.4876,0.03392,-0.0220,64,,5978
340,3.7490,4.9135,0.04522,-0.0441,64,,5995
341,9.6596,5.6950,0.02359,-0.0036,64,,6011
342,1.7847,8.1643,0.03642,-0.0292,64,,6028
343,9.6519,6.6026,0.02966,-0.0292,64,,6045
344,4.2299,3.2829,0.03633,-0.0264,64,,6062
345,4.1042,6.5883,0.04327,-0.0512,64,,6080
346,5.9874,7.1271,0.03879,-0.0310,64,,6097
347,5.2583,4.7535,0.02410,-0.0213,64,,6114
348,9.2991,8.2718,0.01740,-0.0261,64,,6131
349,8.4163,6.7185,0.02105,-0.0135,64,,6149
350,4.1362,5.3995,0.03709,-0.0099,64,-1.2840,6179
351,6.2718,6.5443,0.04177,-0.0319,64,,6196
352,9.8232,5.8873,0.02244,-0.0097,64,,6213
353,4.9350,4.3789,0.03521,-0.0419,64,,6230
354,3.8923,5.8574,0.02415,-0.0084,64,,6247
355,6.9452,4.8870,0.03673,-0.0450,64,,6264
356,10.3045,7.0831,0.03794,-0.0293,64,,6282
357,6.6924,8.2422,0.03150,0.0317,64,,6300
358,7.8890,5.9566,0.01742,-0.0119,64,,6317
359,2.5344,7.2813,0.04131,-0.0022,64,,6334
360,9.4553,4.5680,0.03708,-0.0075,64,,6351
361,7.3016,9.3479,0.02891,-0.0434,64,,6369
362,4.7775,3.9136,0.02615,-0.0409,64,,6387
363,2.5398,5.1272,0.03209,-0.0197,64,,6404
364,10.3151,5.4790,0.03105,-0.0080,64,,6422
365,5.6935,3.9127,0.03918,-0.0389,64,,6440
366,4.2627,7.4465,0.03276,-0.0530,64,,6459
367,7.1718,4.1859,0.02922,-0.0223,64,,6477
368,3.0454,6.0813,0.03420,-0.0125,64,,6493
369,3.2301,7.1642,0.02950,-0.0437,64,,6510
370,3.6155,6.2167,0.03874,-0.0242,64,,6526
371,7.7908,6.3446,0.02086,-0.0185,64,,6543
372,4.2357,6.6527,0.03711,-0.0477,64,,6559
373,5.2338,7.4132,0.03204,-0.0269,64,,6576
374,4.4388,7.0032,0.02695,-0.0405,64,,6591
375,4.5717,6.9741,0.04618,0.0113,64,-1.3117,6621
376,8.1553,7.8063,0.03711,-0.0401,64,,6638
377,9.6139,3.8705,0.01639,0.0110,64,,6655
378,9.9594,6.1464,0.02531,-0.0368,64,,6672
379,5.0668,6.2450,0.01813,-0.0338,64,,6690
380,8.3719,5.1864,0.02309,-0.0142,64,,6707
381,4.4315,5.1748,0.03105,-0.0152,64,,6724
382,9.4691,6.0168,0.03085,-0.0233,64,,6741
383,5.9242,7.0151,0.02549,-0.0464,64,,6758
384,6.2024,6.6434,0.03785,-0.0352,64,,6775
